1	New York	NY	8,175,133
2	Los Angeles	CA	3,792,621
3	Chicago	IL	2,695,598
4	Houston	TX	2,099,451
5	Philadelphia	PA	1,526,006
6	Phoenix	AZ	1,445,632
7	San Antonio	TX	1,327,407
8	San Diego	CA	1,307,402
9	Dallas	TX	1,197,816
10	San Jose	CA	945,942
11	Indianapolis	IN	829,718
12	Jacksonville	FL	821,784
13	San Francisco	CA	805,235
14	Austin	TX	790,390
15	Columbus	OH	787,033
16	Fort Worth	TX	741,206
17	Louisville-Jefferson 	KY	741,096
18	Charlotte	NC	731,424
19	Detroit	MI	713,777
20	El Paso	TX	649,121
21	Memphis	TN	646,889
22	Nashville-Davidson	TN	626,681
23	Baltimore	MD	620,961
24	Boston	MA	617,594
25	Seattle	WA	608,660
26	Washington	DC	601,723
27	Denver	CO	600,158
28	Milwaukee	WI	594,833
29	Portland 	OR	583,776
30	Las Vegas	NV	583,756